locode,name,lat,lon
AUPRC,Price,34.9,-87.4667
AUPSM,Point Samson,50.4667,4.9833
AUPTI,Port Douglas,54.1667,-4.4833
AUPTJ,Portland,-35.8,174.3167
AUPTL,Port Alma,44.3167,-91.9167
AUPTW,Port Willunga,-35.2667,138.45
AUPUG,Port Augusta,-34.3167,115.1667
AUPWI,Point Wilson,51.5,5.5
AUPWR,Port Warrender,59.4833,10.3667
AUPYE,Pyrenees,-37.0833,143.4833
AUPYR,Pyrmont,-33.8667,151.1833
AUPYT,Pleystowe,-21.15,149.0167
AUQDN,Eden,44.7,-72.5333
AURAB,Rapid Bay,49.05,4.0
AURAF,Raffles Bay,-11.2667,132.3833
AURCM,Richmond,37.55,-77.45
AURDN,Risdon,59.4667,17.3833
AURDS,Rhodes,-33.8333,151.0833
AUREV,Revesby,-33.95,151.0
AURLL,Reynella,-36.1,138.5333
AURNB,Rosslyn Bay,-23.1667,150.7833
AUROB,Robe,-37.1833,139.75
AUROK,Rockhampton,-38.3333,145.25
AUROZ,Rozelle,-33.85,151.1667
AURTS,Rottnest Island,53.05,5.85
AURYP,Rocky Point,-33.5,123.9833
AUSBN,South Brisbane,-27.4667,153.0167
AUSCL,Clare,-33.8333,138.6
AUSCY,Scoresby,-37.9,145.2167
AUSGT,Sandgate,-32.8667,151.7
AUSHB,Shark Bay,49.05,4.0
AUSHC,Crux,-12.95,124.4333
AUSKA,Skardon River,-11.75,142.0167
AUSKY,Skye,57.05,-5.9
AUSMR,Seventeen Mile Rocks/Brisbane,-27.55,152.95
AUSMT,Saladin Marine Terminal,61.2167,17.15
AUSOL,Shea Oak Log,-34.5167,138.8167
AUSPB,Spring Bay,49.05,4.0
AUSPO,Spreyton,-41.2167,146.35
AUSRN,Strahan,57.8833,19.0167
AUSSH,Sellicks Hill,51.2167,5.8
AUSTR,South Trees,-23.9,151.2833
AUSUH,Surry Hills,-33.8833,151.2167
AUSWR,South West Rocks,50.5333,-4.9
AUSYD,Sydney,-33.85,151.2
AUSYL,Sylvania,-34.0167,151.1
